"line_id"	"drym"	"crossing"	"name"
22497	-0.00347147191802138	"Desiree"	"Desiree"
858641	-0.0197195777817839	"Ramses"	"Ramses"
866296	0.0423838707631297	"Albatros"	"Albatros"
869004	-0.0220667550937186	"Euroresa"	"Euroresa"
899440	-0.066985071444241	"ExA"	"EA2"
899444	-0.0175581766391678	"ExA"	"EA6"
899445	0.0169286679910235	"ExA"	"EA7"
899446	-0.0448088120595541	"ExA"	"EA8"
899452	0.0147147145403313	"ExA"	"EA14"
899455	-0.0167414391748547	"ExA"	"EA17"
899457	-0.0247115336954727	"ExA"	"EA19"
899458	0.0151357500477233	"ExA"	"EA20"
899460	0.0030326084679644	"ExA"	"EA22"
899462	0.0176176340806532	"ExA"	"EA24"
899464	0.0172560726620028	"AxR"	"AR1"
899472	0.00738304928600725	"AxR"	"AR9"
899483	0.0106742288556495	"AxR"	"AR20"
899484	0.0357547103567707	"AxR"	"AR21"
899485	0.0137501563638315	"AxR"	"AR22"
899486	0.0257372802971346	"AxR"	"AR23"
899491	0.0050634259433428	"AxR"	"AR28"
899504	-0.00471116707662732	"AxR"	"AR41"
899506	0.0383916866003717	"AxR"	"AR43"
899511	0.0188615906946407	"AxR"	"AR48"
899515	0.0441203030277983	"AxR"	"AR52"
899518	-0.00974693497252467	"AxR"	"AR55"
899519	0.0180885564655905	"AxR"	"AR56"
899522	0.0095978114951196	"AxR"	"AR59"
899523	0.0177596192937191	"AxR"	"AR60"
899524	-0.0063178597673857	"AxR"	"AR61"
899530	0.0215245261034643	"AxR"	"AR67"
899531	0.00927697217786536	"AxR"	"AR68"
899534	-0.00713576223646925	"AxR"	"AR71"
899538	0.00800416163003498	"AxR"	"AR75"
899548	0.00060213454003233	"AxR"	"AR85"
899550	0.0292223804430588	"AxR"	"AR87"
899553	-0.00921123013411783	"AxR"	"AR90"
899558	-0.0183556356297093	"AxR"	"AR95"
899561	0.00390354483949544	"AxR"	"AR98"
899562	-0.0167183525868423	"AxR"	"AR99"
899567	0.0203939422899169	"AxR"	"AR104"
899568	0.0114603274217134	"AxR"	"AR105"
899569	0.0450866109274707	"AxR"	"AR106"
899580	0.0193603087877904	"AxR"	"AR117"
899581	0.0242899776027883	"AxR"	"AR118"
899584	0.0335016711511613	"AxR"	"AR121"
899585	0.0311590923060255	"AxR"	"AR122"
899586	0.0587528391698957	"AxR"	"AR123"
899588	0.00173766242445365	"AxR"	"AR125"
899589	-0.00200896707452154	"AxR"	"AR126"
899592	0.0214313561466084	"AxR"	"AR129"
899596	-0.0064392589152851	"AxR"	"AR133"
899602	-0.00364892924272886	"AxR"	"AR139"
899603	0.023458222695053	"AxR"	"AR140"
899604	0.0207336365143722	"AxR"	"AR141"
899606	0.0223725320076042	"AxR"	"AR143"
899607	-0.010696838159159	"AxR"	"AR144"
899612	0.00756707576535252	"AxR"	"AR149"
899620	0.062799823705147	"AxR"	"AR157"
899624	0.0207225999818323	"AxR"	"AR161"
899626	0.0326480508232508	"AxR"	"AR163"
899627	0.0111932234954946	"AxR"	"AR164"
899628	-0.0162281009512608	"AxR"	"AR165"
899629	0.00693192346472541	"AxR"	"AR166"
899631	0.0197831379585006	"AxR"	"AR168"
899633	8.37665897056973e-05	"AxR"	"AR170"
899639	-0.00850136116688995	"AxR"	"AR176"
899646	0.0491404302166824	"AxR"	"AR183"
899647	0.0368956550018736	"AxR"	"AR184"
899648	0.0448664148579196	"AxR"	"AR185"
899651	0.0290580862831249	"AxR"	"AR188"
899654	0.0158319068793189	"AxR"	"AR191"
899659	0.0210182692652921	"AxR"	"AR196"
899660	0.03320248513096	"AxR"	"AR197"
899662	0.015230149370966	"AxR"	"AR199"
899663	0.0346360272904498	"AxR"	"AR200"
899664	-0.00206957720749678	"AxR"	"AR201"
899665	-0.00824163704845817	"AxR"	"AR202"
899670	0.012645979749261	"AxR"	"AR207"
899671	0.0244315736478968	"AxR"	"AR208"
899679	-0.000676712454853626	"AxR"	"AR216"
899692	0.0264556558294047	"AxR"	"AR229"
899693	-0.00401394438002542	"AxR"	"AR230"
899694	0.0322027210490657	"AxR"	"AR231"
899697	0.0387601207563998	"AxR"	"AR234"
899698	0.00689489344284503	"AxR"	"AR235"
899704	0.0411180427079133	"AxR"	"AR241"
899708	0.027011252270239	"AxR"	"AR245"
899710	0.0152126136960837	"AxR"	"AR247"
899712	0.00410065033522599	"AxR"	"AR249"
899717	0.039089894536053	"AxR"	"AR254"
899719	-0.0212152850205025	"AxR"	"AR256"
899721	0.0267015613972074	"AxR"	"AR258"
899723	-0.00169744099629335	"AxR"	"AR260"
899724	0.0137801742808871	"AxR"	"AR261"
899730	0.0117170899134652	"AxR"	"AR267"
899731	0.0357893433933274	"AxR"	"AR268"
899732	0.0555885369880623	"AxR"	"AR269"
899734	0.0246354316892345	"AxR"	"AR271"
899742	0.00218929118542701	"AxR"	"AR279"
899743	0.025220636531994	"AxR"	"AR280"
899745	0.0389679515406777	"AxR"	"AR282"
899747	0.0384059954720025	"AxR"	"AR284"
899748	0.0229877325412373	"AxR"	"AR285"
899751	-0.00167158733164612	"AxR"	"AR288"
899754	-0.00141736674851132	"AxR"	"AR291"
899756	0.0280727300295865	"AxR"	"AR293"
899759	-0.00239895076761142	"AxR"	"AR296"
899761	0.0120749272044404	"AxR"	"AR298"
899762	0.00399486809156315	"AxR"	"AR299"
899788	0.01415187397075	"ExA"	"EA28"
899790	-0.0362440590615906	"ExA"	"EA30"
899795	-0.0434992196992017	"ExA"	"EA35"
899798	0.00149577424922371	"ExA"	"EA38"
899803	-0.00104106370401733	"ExA"	"EA43"
899805	0.0140436666854872	"ExA"	"EA45"
899807	0.0174704132769521	"ExA"	"EA47"
899813	-0.00427538475970364	"ExA"	"EA53"
899814	-0.00380248071849041	"ExA"	"EA54"
899815	-0.080703898328245	"ExA"	"EA55"
899817	-0.0318867596502553	"ExA"	"EA57"
899819	-0.0780179966783182	"ExA"	"EA59"
899822	-0.0309190968512167	"ExA"	"EA62"
899824	-0.00900995255152621	"ExA"	"EA64"
899826	-0.00511485049388655	"ExA"	"EA66"
899831	-0.00724642743296605	"ExA"	"EA71"
899832	0.0192520663286988	"ExA"	"EA72"
899834	0.0494673026578559	"ExA"	"EA74"
899835	-0.00176671873608224	"ExA"	"EA75"
899838	0.034255599136706	"ExA"	"EA78"
899839	0.00756845466275508	"ExA"	"EA79"
899845	-0.0412987486793032	"ExA"	"EA85"
899847	0.0216426746628665	"ExA"	"EA87"
899852	-0.0473009615986027	"ExA"	"EA92"
899859	0.0189218688372827	"ExA"	"EA99"
899871	0.000199936975117092	"ExA"	"EA111"
899872	-0.0564024684302725	"ExA"	"EA112"
899873	0.00695967151507078	"ExA"	"EA113"
899875	-0.00530785658294817	"ExA"	"EA115"
899881	0.0281190470732808	"ExA"	"EA121"
899885	-0.0622490792918833	"ExA"	"EA125"
899887	-0.0408063774511421	"ExA"	"EA127"
899890	-0.0378208958827706	"ExA"	"EA130"
899891	-0.00887672147822582	"ExA"	"EA131"
899892	-0.0301868931014291	"ExA"	"EA132"
899893	-0.00896301647107301	"ExA"	"EA133"
899900	0.0619633353440776	"ExA"	"EA140"
899903	-0.00266506161921357	"ExA"	"EA143"
899905	-0.00845632192391673	"ExA"	"EA145"
899912	-0.0161565666546299	"ExA"	"EA152"
899913	-0.0233883167426811	"ExA"	"EA153"
899914	-0.0105600204479773	"ExA"	"EA154"
899915	0.0157718721624803	"ExA"	"EA155"
899919	-0.0105014533745185	"ExA"	"EA159"
899920	-0.0074735668120836	"ExA"	"EA160"
899922	-0.0687622098989076	"ExA"	"EA162"
899925	-0.0433837921754279	"ExA"	"EA165"
899927	0.00263856052207176	"ExA"	"EA167"
899928	-0.00600553689808979	"ExA"	"EA168"
899930	-0.00773403096999581	"ExA"	"EA170"
899932	-0.00172032688874435	"ExA"	"EA172"
899933	-0.00578559858146538	"ExA"	"EA173"
899934	-0.00670144264818757	"ExA"	"EA174"
899935	-0.0367675723129023	"ExA"	"EA175"
899936	0.00209249745084787	"ExA"	"EA176"
899937	-0.0140546776002445	"ExA"	"EA177"
899939	2.91763249518889e-05	"ExA"	"EA179"
899942	0.012229814052028	"ExA"	"EA182"
899943	0.00523050175695434	"ExA"	"EA183"
899946	0.0267960727816732	"ExA"	"EA186"
899952	0.0181274316348422	"ExA"	"EA192"
899953	0.00557679575237798	"ExA"	"EA193"
899956	0.0132589264645341	"ExA"	"EA196"
899957	-0.00773950357444634	"ExA"	"EA197"
899958	-0.000819998516680316	"ExA"	"EA198"
899960	0.0125188006735329	"ExA"	"EA200"
899961	-0.0129440724134446	"ExA"	"EA201"
899962	0.00541182787325419	"ExA"	"EA202"
899967	0.00838259810640559	"ExA"	"EA207"
899968	-0.00650375302018451	"ExA"	"EA208"
899970	0.0269564627073435	"ExA"	"EA210"
899972	0.00963511333326549	"ExA"	"EA212"
899975	-0.00189444673333748	"ExA"	"EA215"
899978	0.00492532588392855	"ExA"	"EA218"
899982	0.0180939832055757	"ExA"	"EA222"
899992	0.00168302447468472	"ExA"	"EA232"
899994	0.0172186003803241	"ExA"	"EA234"
900003	-0.0178056613832564	"ExA"	"EA243"
900012	-0.029295234502125	"ExA"	"EA252"
900017	-0.00865057422768942	"ExA"	"EA257"
900023	-0.0309248070781383	"ExA"	"EA263"
900024	-0.0289018570066525	"ExA"	"EA264"
900026	-0.0117855730611568	"ExA"	"EA266"
900029	-0.0318145096866037	"ExA"	"EA269"
900033	-0.0357599533459281	"ExA"	"EA273"
900039	-0.035728210129195	"ExA"	"EA279"
900040	-0.00464785924828978	"ExA"	"EA280"
900056	-0.0442293375475739	"ExA"	"EA296"
900060	-0.0332644451222886	"ExA"	"EA300"
